Threads		Tseq(ms)	Tpar(ms)	Speedup		Throughput (MPix/s)
13521920		1560.00		13.78		113.21		0.9813
18585600		2150.00		6.09		353.04		3.0518
15296512		1760.00		15.33		114.81		0.9978
42752000		4960.00		19.29		257.13		2.2163
22118400		2550.00		7.41		344.13		2.9849
319389696		37200.00		238.83		155.76		1.3373
37340160		4330.00		23.71		182.62		1.5749
8355840		960.00		4.47		214.77		1.8693


13521920		1590.00		13.73		115.80		0.9848
18585600		2150.00		10.63		202.26		1.7484
15296512		1760.00		7.74		227.39		1.9763
42752000		5000.00		41.84		119.50		1.0218
22118400		2560.00		20.63		124.09		1.0721
37340160		4350.00		36.64		118.72		1.0191
8355840		960.00		2.98		322.15		2.8040


13521920		1590.00		13.68		116.23		0.9884
18585600		2150.00		6.11		351.88		3.0418
15296512		1760.00		15.30		115.03		0.9998
42752000		5000.00		32.69		152.95		1.3078
22118400		2560.00		17.21		148.75		1.2852
37340160		4340.00		28.57		151.91		1.3070
8355840		970.00		5.07		191.32		1.6481


13521920		1590.00		10.72		148.32		1.2614
18585600		2150.00		6.13		350.73		3.0319
15296512		1760.00		5.13		343.08		2.9818
42752000		4990.00		41.85		119.24		1.0216
22118400		2560.00		13.98		183.12		1.5821
37340160		4350.00		36.65		118.69		1.0188
8355840		970.00		2.99		324.41		2.7946
